N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
1442897,113,113,113,OpenMP,4.121487,0.9691,4.089891,0.9754,9.02e-16
1442897,113,113,113,AVX256,4.194998,0.9522,4.190664,0.9520,8.21e-16
1442897,113,113,113,AVX512,3.461548,1.1539,3.456574,1.1541,8.21e-16
1442897,113,113,113,Highway256,3.770624,1.0593,3.763219,1.0601,8.21e-16
1442897,113,113,113,Highway512,3.448732,1.1582,3.447435,1.1572,8.21e-16
1860867,123,123,123,Base,5.203238,1.0000,5.204389,1.0000,0.00e+00
1860867,123,123,123,OpenMP,5.281312,0.9852,5.270960,0.9874,9.02e-16
1860867,123,123,123,AVX256,5.427487,0.9587,5.425435,0.9593,8.21e-16
1860867,123,123,123,AVX512,4.469765,1.1641,4.463676,1.1659,8.21e-16
1860867,123,123,123,Highway256,4.880190,1.0662,4.880855,1.0663,8.21e-16
1860867,123,123,123,Highway512,4.434355,1.1734,4.430071,1.1748,8.21e-16
2352637,133,133,133,Base,6.557557,1.0000,6.552192,1.0000,0.00e+00
2352637,133,133,133,OpenMP,6.754635,0.9708,6.726346,0.9741,9.02e-16
2352637,133,133,133,AVX256,6.875456,0.9538,6.876388,0.9529,8.21e-16
2352637,133,133,133,AVX512,5.670722,1.1564,5.672932,1.1550,8.21e-16
2352637,133,133,133,Highway256,6.182640,1.0606,6.187375,1.0590,8.21e-16
2352637,133,133,133,Highway512,5.629230,1.1649,5.631712,1.1634,8.21e-16
2924207,143,143,143,Base,8.189962,1.0000,8.185660,1.0000,0.00e+00
2924207,143,143,143,OpenMP,8.374797,0.9779,8.357198,0.9795,9.02e-16
2924207,143,143,143,AVX256,8.564534,0.9563,8.562748,0.9560,8.21e-16
2924207,143,143,143,AVX512,7.062827,1.1596,7.063800,1.1588,8.21e-16
2924207,143,143,143,Highway256,7.709866,1.0623,7.711719,1.0615,8.21e-16
2924207,143,143,143,Highway512,7.050043,1.1617,7.041603,1.1625,8.21e-16
3581577,153,153,153,Base,10.108960,1.0000,10.107595,1.0000,0.00e+00
3581577,153,153,153,OpenMP,10.358174,0.9759,10.332115,0.9783,9.02e-16
3581577,153,153,153,AVX256,10.562516,0.9571,10.555618,0.9576,8.21e-16
3581577,153,153,153,AVX512,8.722413,1.1590,8.725630,1.1584,8.21e-16
3581577,153,153,153,Highway256,9.476523,1.0667,9.472262,1.0671,8.21e-16
3581577,153,153,153,Highway512,8.685698,1.1639,8.682305,1.1642,8.21e-16
